city,lat,lon,popul,country
Paris,48.8566,2.3522,11020000,France
Nice,43.7034,7.2663,1006402,France
Toulouse,43.6045,1.444,968638,France
Marseille,43.2964,5.37,870018,France
Rennes,48.1147,-1.6794,727357,France
Grenoble,45.1715,5.7224,687985,France
Nantes,47.2181,-1.5528,633690,France
Montpellier,43.6119,3.8772,607896,France
Lyon,45.76,4.84,516092,France
Rouen,49.4428,1.0886,494382,France
Strasbourg,48.5833,7.7458,465069,France
Nancy,48.6936,6.1846,434565,France
Metz,49.1203,6.1778,391187,France
Brest,48.39,-4.49,300300,France
Mulhouse,47.75,7.34,285121,France
Orleans,47.9025,1.909,282828,France
Limoges,45.8353,1.2625,283823,France
Bordeaux,44.84,-0.58,257804,France
Lille,50.6278,3.0583,232787,France
Le Havre,49.49,0.1,235218,France
Reims,49.2628,4.0347,182460,France
Toulon,43.1258,5.9306,171953,France
Saint-Etienne,45.4347,4.3903,172565,France
Dijon,47.3167,5.0167,156920,France
Villeurbanne,45.7667,4.8803,147712,France
Angers,47.4736,-0.5542,152960,France
Nimes,43.838,4.361,151001,France
Clermont-Ferrand,45.7831,3.0824,143886,France
Le Mans,48.0077,0.1984,142946,France
Aix-en-Provence,43.5263,5.4454,142482,France
Boulogne-Billancourt,48.8352,2.2409,120071,France
Tours,47.2436,0.6892,135787,France
Amiens,49.892,2.299,136105,France
Boulogne-sur-Mer,50.7264,1.6147,133062,France
Annecy,45.916,6.133,126924,France
Montreuil,48.8611,2.4436,109897,France
Perpignan,42.6986,2.8956,120158,France
Saint-Denis,48.9356,2.3539,111135,France
Besancon,47.24,6.02,115934,France
Belfort,47.64,6.85,114445,France
Argenteuil,48.95,2.25,110210,France
Caen,49.18,-0.37,105354,France
Roubaix,50.6901,3.1817,100000,France
Courbevoic,48.8978,2.2531,81719,France
Tourcoing,50.7239,3.1612,97368,France
Nanterre,48.8988,2.1969,95105,France
Vitry-sur-Seine,48.7875,2.3928,93557,France
Creteil,48.7911,2.4628,90605,France
Aubervilliers,48.9131,2.3831,86375,France
Colombes,48.9236,2.2522,85177,France
Levallois-Perret,48.895,2.2872,64379,France
Aulnay-sous-Bois,48.9386,2.4906,85740,France
Poitiers,46.58,0.34,88291,France
Versailles,48.8053,2.135,85862,France
Carrieres-sur-Seine,48.9108,2.2889,85191,France
Issy-les-Moulineaux,48.8239,2.27,68451,France
Champigny-sur-Marne,48.8172,2.5156,77630,France
Saint-Ouen,48.9123,2.3342,51108,France
Clichy,48.9044,2.3064,61070,France
Rueil-Malmaison,48.876,2.181,78152,France
Saint-Maur-des-Fosses,48.7994,2.4997,74859,France
Drancy,48.93,2.45,71318,France
Pau,43.3,-0.37,77130,France
La Rochelle,46.1591,-1.1517,75735,France
Cannes,43.5513,7.0128,73868,France
Calais,50.9481,1.8564,73911,France
Montrouge,48.8172,2.3219,50260,France
Antibes,43.5808,7.1239,72999,France
Vincennes,48.8478,2.4392,49891,France
Neuilly-sur-Seine,48.8881,2.2686,60361,France
Noisy-le-Grand,48.8478,2.5528,68183,France
Ivry-sur-Seine,48.8078,2.3747,62052,France
Ajaccio,41.9267,8.7369,70659,France
Courcouronnes,48.6239,2.4294,67967,France
Venissieux,45.6978,4.8867,65894,France
Cergy,49.0361,2.0631,65177,France
Antony,48.7539,2.2975,62570,France
Pantin,48.8966,2.4017,57482,France
Epinay-sur-Seine,48.9553,2.3092,55084,France
La Seyne-sur-Mer,43.1,5.883,63936,France
Troyes,48.2997,4.0792,61652,France
Villejuif,48.7919,2.3636,54753,France
Maisons-Alfort,48.8058,2.4378,55655,France
Sarcelles,48.9956,2.3808,58587,France
Bondy,48.9022,2.4828,53353,France
Le Blanc-Mesnil,48.9387,2.4614,56783,France
Cherbourg,49.6504,-1.65,60991,France
Fontenay-sous-Bois,48.8517,2.4772,52939,France
Suresnes,48.87,2.22,49145,France
Bobigny,48.9106,2.4397,53640,France
Chambery,45.57,5.9118,58919,France
Lorient,47.75,-3.36,57149,France
Puteaux,48.885,2.2389,44645,France
Clamart,48.8014,2.2628,52971,France
Sevran,48.9333,2.5333,51016,France
Chelles,48.8833,2.6,54917,France
Meaux,48.9603,2.8883,54991,France
Sartrouville,48.9372,2.1644,51967,France
Alfortville,48.805,2.4239,43881,France
Saint-Quentin,49.8486,3.2864,53816,France
Massy,48.7309,2.2713,50833,France
Corbeil-Essonnes,48.6139,2.482,51292,France
