city,lat,lon,popul,country
Berlin,52.5167,13.3833,3644826,Germany
Hamburg,53.55,10.0,1841179,Germany
Munich,48.1372,11.5755,1471508,Germany
Cologne,50.9422,6.9578,1085664,Germany
Frankfurt,50.1136,8.6797,753056,Germany
Bremen,53.1153,8.7975,724909,Germany
Stuttgart,48.7761,9.1775,634830,Germany
Dusseldorf,51.2311,6.7724,619294,Germany
Dortmund,51.5139,7.4653,587010,Germany
Essen,51.4508,7.0131,583109,Germany
Dresden,51.0493,13.7384,555805,Germany
Leipzig,51.35,12.3833,542529,Germany
Hannover,52.3744,9.7386,538068,Germany
Nuremberg,49.4528,11.0778,518365,Germany
Duisburg,51.4322,6.7611,498590,Germany
Bochum,51.4833,7.2167,364628,Germany
Wuppertal,51.2667,7.1833,354382,Germany
Bielefeld,52.0167,8.5333,333786,Germany
Bonn,50.7339,7.0997,327258,Germany
Munster,51.9625,7.6256,314319,Germany
Karlsruhe,49.0167,8.4,313092,Germany
Mannheim,49.4878,8.4661,309370,Germany
Augsburg,48.3717,10.8983,295135,Germany
Wiesbaden,50.0825,8.24,278342,Germany
Gelsenkirchen,51.5167,7.1,260654,Germany
Monchengladbach,51.2,6.4333,261454,Germany
Kiel,54.3233,10.1394,247548,Germany
Braunschweig,52.2692,10.5211,248292,Germany
Aachen,50.7762,6.0838,247380,Germany
Chemnitz,50.8333,12.9167,245403,Germany
Halle,51.4828,11.9697,239257,Germany
Magdeburg,52.1278,11.6292,238697,Germany
Freiburg im Breisgau,47.9947,7.8497,230241,Germany
Krefeld,51.3333,6.5667,227020,Germany
Lubeck,53.8697,10.6864,217198,Germany
Oberhausen,51.4699,6.8514,210829,Germany
Rostock,54.0833,12.1333,208886,Germany
Erfurt,50.9787,11.0328,203254,Germany
Kassel,51.3158,9.4979,201585,Germany
Hagen,51.3594,7.475,188814,Germany
Mainz,50.0,8.2711,184997,Germany
Saarbrucken,49.2333,7.0,180741,Germany
Hamm,51.6667,7.8167,179111,Germany
