city,lat,lon,popul,country
Rome,41.8931,12.4828,2872800,Italy
Milan,45.4669,9.19,1351562,Italy
Naples,40.8333,14.25,972212,Italy
Turin,45.0667,7.7,870952,Italy
Palermo,38.1157,13.3613,674435,Italy
Genoa,44.4072,8.934,580097,Italy
Bologna,44.4939,11.3428,388367,Italy
Florence,43.7714,11.2542,382258,Italy
Bari,41.1253,16.8667,325183,Italy
Catania,37.5027,15.0873,311584,Italy
Cagliari,39.2224,9.104,291511,Italy
Venice,45.4397,12.3319,261905,Italy
Verona,45.4386,10.9928,252520,Italy
Messina,38.1833,15.55,236962,Italy
Padova,45.4064,11.8778,211560,Italy
Trieste,45.6361,13.8042,204338,Italy
Brescia,45.5389,10.2203,197008,Italy
Taranto,40.4181,17.2408,198283,Italy
Parma,44.8015,10.328,194417,Italy
Prato,43.8808,11.0966,191749,Italy
Modena,44.6458,10.9257,184727,Italy
Reggio di Calabria,38.1144,15.65,182703,Italy
Reggio Emilia,44.7,10.6333,170996,Italy
Perugia,43.1121,12.3888,165683,Italy
Livorno,43.55,10.3167,159020,Italy
Ravenna,44.4178,12.1994,159162,Italy
Foggia,41.4584,15.5519,151975,Italy
Rimini,44.0594,12.5683,149403,Italy
Salerno,40.6806,14.7597,135066,Italy
Ferrara,44.8353,11.6199,132009,Italy
Latina,41.4676,12.9037,126181,Italy
Monza,45.5836,9.2736,122728,Italy
Giugliano in Campania,40.9319,14.1956,124361,Italy
Pescara,42.4643,14.2142,120286,Italy
Bergamo,45.695,9.67,119806,Italy
Siracusa,37.0692,15.2875,121171,Italy
Forli,44.2225,12.0408,117859,Italy
Trento,46.0667,11.1167,117185,Italy
Sassari,40.7267,8.5592,116641,Italy
Vicenza,45.55,11.55,112408,Italy
Terni,42.5667,12.65,111189,Italy
Barletta,41.32,16.27,107830,Italy
Bolzano,46.5,11.35,107317,Italy
Novara,45.45,8.6167,104284,Italy
Piacenza,45.05,9.7,103082,Italy
Ancona,43.6167,13.5167,100721,Italy
Andria,41.2317,16.3083,100365,Italy
Catanzaro,38.91,16.5875,90240,Italy
Como,45.8103,9.0861,84378,Italy
Busto Arsizio,45.612,8.8518,83314,Italy
Castellammare di Stabia,40.7,14.4833,66164,Italy
L'Aquila,42.3504,13.39,68503,Italy
Potenza,40.6333,15.8,67211,Italy
Campobasso,41.563,14.656,50762,Italy
Aosta,45.737,7.315,34062,Italy
Udine,46.0667,13.2333,99341,Italy
Lecce,40.352,18.1691,94892,Italy
Arezzo,43.4617,11.875,91589,Italy
Pisa,43.7167,10.4,89745,Italy
Eraclea,45.6381,12.6583,90000,Italy
Brindisi,40.6383,17.9458,87141,Italy
Treviso,45.6722,12.2422,83950,Italy
Varese,45.8167,8.8333,80629,Italy
Marsala,37.8054,12.4387,77784,Italy
Caserta,41.0667,14.3333,75561,Italy
Asti,44.9,8.2069,76173,Italy
Ragusa,36.93,14.73,68956,Italy
Benevento,41.1256,14.7811,61791,Italy
Civitavecchia,42.1004,11.8,61316,Italy
Savona,44.308,8.481,61057,Italy
Molfetta,41.2,16.6,59470,Italy
Crotone,39.0833,17.1233,60010,Italy
Agrigento,37.3111,13.5765,59329,Italy
Siena,43.3183,11.3314,53772,Italy
Biella,45.5664,8.0533,44616,Italy
Olbia,40.9143,9.5151,45366,Italy
Macerata,43.3003,13.4533,42209,Italy
Gorizia,45.9352,13.6193,34411,Italy
Vibo Valentia,38.6666,16.1,33957,Italy
Ventimiglia,43.7903,7.6083,24065,Italy
Pozzallo,36.7303,14.8467,19466,Italy
Narni,42.5167,12.5167,19543,Italy
San Vito dei Normanni,40.6556,17.7036,19095,Italy
Urbino,43.7252,12.6372,14558,Italy
Priverno,41.4667,13.1833,14365,Italy
Muggia,45.6,13.7667,13111,Italy
Loreto,43.4403,13.6074,12810,Italy
Amelia,42.5535,12.4168,11828,Italy
Avigliano,40.7333,15.7167,11350,Italy
Strongoli,39.2667,17.0667,6518,Italy
San Dorligo della Valle,45.6225,13.8578,5754,Italy
Montecastrilli,42.65,12.4833,5037,Italy
