city,lat,lon,popul,country
Kyiv,50.45,30.5236,2967000,Ukraine
Kharkiv,50.0,36.2292,1446107,Ukraine
Odesa,46.4775,30.7326,1010783,Ukraine
Dnipro,48.45,34.9833,983836,Ukraine
Donetsk,48.0089,37.8042,929063,Ukraine
Zaporizhzhia,47.8378,35.1383,741717,Ukraine
Lviv,49.8419,24.0315,724314,Ukraine
Kryvyy Rih,47.9086,33.3433,629695,Ukraine
Mykolaiv,46.9667,32.0,498748,Ukraine
Mariupol,47.1306,37.5639,449498,Ukraine
Sevastopol,44.6,33.5333,428753,Ukraine
Luhansk,48.5833,39.3333,417990,Ukraine
Vinnytsia,49.2372,28.4672,371855,Ukraine
Makiivka,48.0556,37.9611,347376,Ukraine
Simferopol,44.9484,34.1,341799,Ukraine
Poltava,49.5744,34.5686,317847,Ukraine
Chernihiv,51.5,31.3,294522,Ukraine
Kherson,46.6333,32.6,291428,Ukraine
Cherkasy,49.4444,32.0597,276360,Ukraine
Khmelnytskyi,49.42,27.0,274176,Ukraine
Zhytomyr,50.2544,28.6578,266936,Ukraine
Chernivtsi,48.2908,25.9344,266550,Ukraine
Sumy,50.9068,34.7992,265758,Ukraine
Horlivka,48.3336,38.0925,256714,Ukraine
Rivne,50.6197,26.2514,245630,Ukraine
Ivano-Frankivsk,48.9228,24.7106,236602,Ukraine
Kremenchuk,49.0775,33.4239,234073,Ukraine
Kamianske,48.5076,34.6132,235066,Ukraine
Kropyvnytskyi,48.5103,32.2667,227413,Ukraine
Ternopil,49.5667,25.6,218653,Ukraine
Lutsk,50.7478,25.3244,216505,Ukraine
Bila Tserkva,49.7956,30.1167,208944,Ukraine
Kramatorsk,48.7208,37.5556,159445,Ukraine
Melitopol',46.8333,35.3667,154992,Ukraine
Sievierodonetsk,48.95,38.4833,150000,Ukraine
Kerch,45.3386,36.4681,149566,Ukraine
Khrustalnyi,48.1214,38.9453,124000,Ukraine
Uzhhorod,48.6239,22.295,114897,Ukraine
Berdyans'k,46.7598,36.7845,114205,Ukraine
Sloviansk,48.87,37.625,113196,Ukraine
Nikopol',47.5772,34.3575,112102,Ukraine
Pavlohrad,48.52,35.87,106082,Ukraine
Yevpatoriya,45.2,33.3583,106158,Ukraine
Alchevsk,48.4672,38.7983,105398,Ukraine
Brovary,50.5114,30.7903,102856,Ukraine
Konotop,51.2369,33.2027,103547,Ukraine
Lysychansk,48.9169,38.4306,103459,Ukraine
Kam'yanets'-Podil's'kyy,48.6806,26.5806,100462,Ukraine
Drohobych,49.35,23.5,98015,Ukraine
Mukacheve,48.4414,22.7136,86257,Ukraine
Uman',48.75,30.2167,82762,Ukraine
Chervonohrad,50.3822,24.2275,82395,Ukraine
Khartsyzk,48.0333,38.15,59763,Ukraine
Stryy,49.25,23.85,59325,Ukraine
Chornomors'k,46.3017,30.6569,59800,Ukraine
Novohrad-Volynskyi,50.5833,27.6333,56288,Ukraine
Myrnohrad,48.3022,37.2614,50360,Ukraine
Rovenky,48.0833,39.3667,46734,Ukraine
Myrhorod,49.964,33.6124,40160,Ukraine
Bucha,50.5464,30.235,35162,Ukraine
Chuhuiv,49.8353,36.6756,33144,Ukraine
Sukhodilsk,48.35,39.7167,21324,Ukraine
Hirnyk,48.05,37.3667,11378,Ukraine
Dovzhansk,48.0846,39.6516,95153,Ukraine
Yalta,44.4994,34.1553,79458,Ukraine
Yenakiieve,48.2311,38.2053,79348,Ukraine
Bakhmut,48.6044,38.0067,75798,Ukraine
Shostka,51.8657,33.4766,76788,Ukraine
Stakhanov,48.5472,38.6361,75745,Ukraine
Berdychiv,49.8919,28.6,76229,Ukraine
Nizhyn,51.05,31.9,73283,Ukraine
Kostiantynivka,48.5333,37.7167,72888,Ukraine
Izmayil,45.35,28.8333,71594,Ukraine
Novomoskovs'k,48.6328,35.2239,70749,Ukraine
Kovel',51.2167,24.7167,69089,Ukraine
Smila,49.2167,31.8667,68536,Ukraine
Nova Kakhovka,46.7667,33.3667,69280,Ukraine
Feodosiya,45.0489,35.3792,67993,Ukraine
Kalush,49.0442,24.3597,66406,Ukraine
Korosten,50.95,28.65,63525,Ukraine
Pokrovsk,48.2833,37.1833,63437,Ukraine
Kolomyya,48.5167,25.0333,61269,Ukraine
Boryspil',50.35,30.95,62281,Ukraine
Rubizhne,49.0167,38.3667,59951,Ukraine
Druzhkivka,48.6203,37.5278,59400,Ukraine
